0	G
1	G
2	G
3	G
4	G
5	G
6	G
7	G
8	G
9	G
10	G
11	G
12	G
13	G
14	G
15	G
16	G
17	G
18	G
19	G
20	G
21	G
22	G
23	G
24	G
25	G
26	G
27	G
28	G
29	G
30	G
31	G
32	G
33	G
34	G
35	G
36	G
37	G
38	G
39	G
40	G
41	G
42	G
43	G
44	G
45	G
46	G
47	G
48	G
49	G
50	G
51	G
52	G
53	G
54	G
55	G
56	G
57	G
58	G
59	G
60	G
61	G
62	G
63	G
64	G
65	G
66	G
67	G
68	G
69	G
70	G
71	G
72	G
73	G
74	G
75	G
76	G
77	G
78	G
79	G
80	G
81	G
82	G
83	G
84	G
85	G
86	G
87	G
88	G
89	G
90	G
91	G
92	G
93	G
94	G
95	G
96	G
97	G
98	G
99	G
100	G
101	G
102	G
103	G
104	G
105	G
106	G
107	G
108	G
109	G
110	G
111	G
112	G
113	G
114	D
115	D
116	D
117	D
118	D
119	D
120	D
121	D
122	D
123	D
124	D
125	D
126	D
127	D
128	D
129	D
130	D
131	D
132	D
133	D
134	D
135	D
136	D
137	D
138	D
139	D
140	D
141	D
142	D
143	D
144	D
145	D
146	D
147	D
148	D
149	D
150	D
151	D
152	D
153	D
154	D
155	D
156	D
157	D
158	D
159	D
160	D
161	D
162	D
163	D
164	D
165	D
166	D
167	D
168	D
169	D
170	D
171	D
172	D
173	D
174	D
175	D
176	D
177	D
178	D
179	D
180	D
181	D
182	D
183	D
184	D
185	D
186	D
187	D
188	D
189	D
190	D
191	D
192	D
193	D
194	D
195	D
196	D
197	D
198	D
199	D
200	D
201	D
202	D
203	D
204	D
205	D
206	D
207	D
208	D
209	D
210	D
211	D
212	D
213	D
214	D
215	D
216	D
217	G
218	G
219	G
220	G
221	G
222	G
223	G
224	G
225	G
226	G
227	G
228	G
229	G
230	G
231	G
232	G
233	G
234	G
235	G
236	G
237	G
238	G
239	G
240	G
241	G
242	G
243	G
244	G
245	G
246	G
247	G
248	G
249	G
250	G
251	G
252	G
253	G
254	G
255	G
256	G
257	G
258	G
259	G
260	G
261	G
262	G
263	G
264	G
265	G
266	G
267	G
268	G
269	G
270	G
271	G
272	G
273	G
274	G
275	G
276	G
277	G
278	G
279	G
280	G
281	G
282	G
283	G
284	G
285	G
286	G
287	G
288	G
289	G
290	G
291	G
292	G
293	G
294	G
295	G
296	G
297	G
298	G
299	G
300	G
301	G
302	G
303	G
304	G
305	G
306	G
307	G
308	G
309	G
310	G
311	G
312	G
313	G
314	G
315	G
316	G
317	G
318	G
319	G
320	G
321	G
322	G
323	G
324	G
325	G
326	G
327	G
328	G
329	G
330	G
331	G
332	G
333	G
334	G
335	G
336	G
337	G
338	G
339	G
340	G
341	G
342	G
343	G
344	G
345	G
346	G
347	G
348	G
349	G
350	G
351	G
352	G
353	G
354	G
355	G
356	G
357	G
358	G
359	G
360	G
361	G
362	G
363	G
364	G
365	G
366	G
367	G
368	G
369	G
370	G
371	G
372	G
373	G
374	G
375	G
376	G
377	G
378	G
379	G
380	G
381	G
382	G
383	G
384	G
385	G
386	G
387	G
388	G
389	G
390	G
391	G
392	G
393	G
394	G
395	G
396	G
397	G
398	G
399	G
400	G
401	G
402	G
403	G
404	G
405	G
406	G
407	G
408	G
409	G
410	G
411	G
412	G
413	G
414	G
415	G
416	G
417	G
418	G
419	G
420	G
421	G
422	G
423	G
424	G
425	G
426	G
427	G
428	G
429	G
430	G
431	G
432	G
433	G
434	G
435	G
436	G
437	G
438	G
439	G
440	G
441	G
442	G
443	G
444	G
445	G
446	G
447	G
448	G
449	G
450	G
451	G
452	G
453	G
454	G
455	G
456	G
457	G
458	G
459	G
460	G
461	G
462	G
463	G
464	G
465	G
466	G
467	G
468	G
469	G
470	G
471	G
472	G
473	D
474	D
475	D
476	D
477	D
478	D
479	D
480	D
481	D
482	D
483	D
484	D
485	D
486	D
487	D
488	D
489	D
490	D
491	D
492	D
493	D
494	D
495	D
496	D
497	D
498	D
499	D
500	D
501	D
502	D
503	D
504	D
505	D
506	D
507	D
508	D
509	D
510	D
511	D
512	D
513	D
514	D
515	D
516	D
517	D
518	D
519	D
520	D
521	D
522	D
523	D
524	D
525	D
526	D
527	D
528	D
529	D
530	D
531	D
532	D
533	D
534	D
535	D
